WLD_gdp_per_capita_constant_us$,WLD_gdp_per_capita_constant_%_growth,ARG_gdp_per_capita_constant_us$,ARG_gdp_per_capita_constant_%_growth,AUS_gdp_per_capita_constant_us$,AUS_gdp_per_capita_constant_%_growth,BRA_gdp_per_capita_constant_us$,CAN_gdp_per_capita_constant_us$,CAN_gdp_per_capita_constant_%_growth,CHN_gdp_per_capita_constant_%_growth,FRA_gdp_per_capita_constant_us$,FRA_gdp_per_capita_constant_%_growth,DEU_gdp_per_capita_constant_us$,DEU_gdp_per_capita_constant_%_growth,IND_gdp_per_capita_constant_us$,IND_gdp_per_capita_constant_%_growth,IDN_gdp_per_capita_constant_us$,IDN_gdp_per_capita_constant_%_growth,ITA_gdp_per_capita_constant_us$,ITA_gdp_per_capita_constant_%_growth,JPN_gdp_per_capita_constant_us$,JPN_gdp_per_capita_constant_%_growth,MEX_gdp_per_capita_constant_us$,MEX_gdp_per_capita_constant_%_growth,RUS_gdp_per_capita_constant_us$,RUS_gdp_per_capita_constant_%_growth,SAU_gdp_per_capita_constant_us$,ZAF_gdp_per_capita_constant_us$,ZAF_gdp_per_capita_constant_%_growth,KOR_gdp_per_capita_constant_us$,KOR_gdp_per_capita_constant_%_growth,TUR_gdp_per_capita_constant_us$,TUR_gdp_per_capita_constant_%_growth,GBR_gdp_per_capita_constant_us$,GBR_gdp_per_capita_constant_%_growth,USA_gdp_per_capita_constant_us$,USA_gdp_per_capita_constant_%_growth,CHN_gdp_per_capita_constant_us$,SAU_gdp_per_capita_%_growth,time
3676.57551691475,2.45784841828049,7637.066651848399,3.72877851385579,20045.8436572101,0.464272841729567,2754.24634096382,13131.89929529209,1.11938696476608,-26.527643606404,11579.3113728918,3.60490103001044,15328.750347828327,1.7343331009030192,307.727896434352,1.67048184373182,619.40485088012,2.98578889766456,887.336744604475,7.48641883914016,6952.1095972467,11.0440730403403,3808.61384907818,1.78207713661618,6263.527506229745,0.9251360578239525,12656.258825806312,3890.37259673076,1.32811660586734,1066.61051506809,3.80955476222881,2477.79538392841,-1.26824121031736,15198.1534210409,1.89926198176089,19253.5473294341,0.618121192654741,175.023372303484,1.17957023516712,YR1961
3806.40354393707,3.53122155182244,7451.80339350561,-2.42584315141401,19815.7495923857,-1.14783926662849,2851.49288847603,13847.043914670328,5.44585823647479,-6.35150486433841,12200.1647059241,5.36174659302979,15594.6019390655,1.7343331009030192,310.3767247166,0.860769632178446,614.314122231815,-0.821874197638621,990.26015216342,5.48747776983932,7501.4454438345,7.90171442068974,3864.3539197837,1.46352644070259,6321.473657681598,0.9251360578239525,12805.548287801235,4029.27554255121,3.57042782835715,1076.92082427716,0.966642374457535,2553.61405822376,3.05992475355819,15235.9236991883,0.24851886345067,20116.2351242269,4.48066935423358,163.906754297899,1.17957023516712,YR1962
3922.0514587182,3.03824629853918,6945.95712519011,-6.78823959253077,20647.4859468336,4.19734994414505,2786.36244634607,14318.565242639934,3.40521291674428,7.62225446101341,12779.8777459094,4.75168207937229,15865.064282448777,1.7343331009030192,322.28406114022,3.83641409789735,584.789211389291,-4.80615857165361,1126.01933699825,4.84205248927523,8055.04139523596,7.37985706283395,4049.96780502313,4.80323203030584,6379.955889874653,0.9251360578239525,12956.598723854091,4218.96392422205,4.70775402842587,1141.8206594769,6.02642587427952,2719.25334879518,6.48646533089004,15859.4491137533,4.09246873951061,20701.2699473561,2.90827194808753,176.400144189273,1.17957023516712,YR1963
4095.19620393103,4.41464746282068,7532.00447516528,8.43724398830246,21659.1520578829,4.8997060158038,2799.6419489352,14984.486700577498,4.65075548180265,15.4689954188308,13450.6130773243,5.2483704832748,16140.217343778828,1.7343331009030192,339.203690199302,5.24991183219589,589.416871315786,0.791338115746171,1222.5445404629,1.95553270968082,8902.49555330628,10.5207920914166,4393.46222117083,8.48141103051884,6438.979162285146,0.9251360578239525,13109.430905890717,4439.90686249409,5.2369003916709,1217.72626522374,6.64776951764121,2800.10358710371,2.9732514016892,16628.5760831549,4.84964492704,21599.8187054259,4.34054896320299,203.687474412722,1.17957023516712,YR1964
4235.39881952799,3.42358726212863,8202.11254803701,8.89680927674999,22509.0974044746,3.92418569443652,2787.43877839417,15645.230386355575,4.40951831705128,14.1978890116067,13938.2009035424,3.62502306337294,16420.142475729674,1.7343331009030192,323.464109082008,-4.64015621647454,579.924636461,-1.61044505454971,1304.45381661965,2.40204614684968,9319.70655763259,4.68645001649419,4561.1360417732,3.81643934012676,6498.548480271216,0.9251360578239525,13264.065850856401,4593.00819638224,3.44830057543486,1274.04150740789,4.62462244532431,2811.42383970151,0.404279779146052,16876.0173572894,1.48804848290725,22696.678582964,5.07809761043293,232.606795960385,1.17957023516712,YR1965
4384.88331464691,3.5294077721725,8026.87623718092,-2.13647776508532,22525.0519937315,0.0708806264874511,2893.57582468551,16386.137771717815,4.73567577508092,7.60840392828521,14520.90271332,4.18060992096517,16704.92244190169,1.7343331009030192,316.619267654466,-2.11610538398452,580.152319907286,0.039260868045929,1402.44235441032,5.16416328074524,10217.4142097791,9.63235963058663,4690.79338533453,2.84265460126308,6558.668895497376,0.9251360578239525,13420.52482360607,4675.44315662875,1.79479236095065,1391.42024943415,9.21310187649034,3053.27112159286,8.60230600865309,17047.2524596601,1.01466536058506,23894.408153854,5.27711385836413,250.304460561694,1.17957023516712,YR1966
4475.41894069285,2.06472144295191,8161.60211352432,1.67843470314565,23644.6004905653,4.97023712595779,2934.98774513646,16591.426063475057,1.25281682979357,-8.16149758528742,15101.8177290415,4.00054340415525,16994.641441291766,1.7343331009030192,334.332955557731,5.59463359083901,572.381630153484,-1.33942233567981,1533.69287748547,6.40567760378134,11232.9060981793,9.93883449912613,4813.53556158258,2.61666132283287,6619.345506362906,0.9251360578239525,13578.829339828542,4884.54369106114,4.47231476092134,1482.72648976961,6.56208937397587,3122.89001474066,2.28014121168091,17428.1583772499,2.23441236933108,24226.5287873383,1.38995128628369,229.875868057084,1.17957023516712,YR1967
4645.79889879226,3.80701695991488,8429.86888847954,3.28693767747738,24414.7801364538,3.25731723061205,3138.78573172604,17141.473321914447,3.31525003537992,-6.57145161433968,15656.8327241562,3.67515358132928,17289.38513318787,1.7343331009030192,338.432623848126,1.22622320720862,617.849466058577,7.94362249062763,1651.93937679756,5.87359459594813,12537.8808936569,11.6174281532467,5106.63459317368,6.089059233931,6680.583458434218,0.9251360578239525,13739.0011690053,4957.38196890053,1.49119922855209,1639.45298202879,10.5701552741211,3256.50364177937,4.27852490507286,18287.2056960879,4.92907684359439,25137.1602435017,3.75881936763187,214.76968661467,1.17957023516712,YR1968
4815.43889354302,3.65147089760711,9108.49687723332,8.05027928347988,25593.1263966241,4.82636441362362,3349.53183697454,17763.14883526566,3.62673325493226,13.7793403435262,16644.302861919,6.30695974824673,17589.24066249535,1.7343331009030192,352.883205689277,4.269854861166,642.410353317672,3.97522189600261,1813.38812575706,5.49917950556602,13935.6862699391,11.1486573220626,5121.19402461649,0.285108150527762,6742.387944881215,0.9251360578239525,14016.7876286284,5057.39714959405,2.01749998932796,1836.1458818301,11.9974712271352,3309.8921667132,1.63944312080247,18561.728287271,1.50117298260513,25664.3794275179,2.09736970647879,244.36353268803,2.02188249499365,YR1969
4902.10019765073,1.79965535901437,9243.25657925509,1.4794944087712,26894.5064781818,5.08488123486703,3605.87048569222,18124.59034014288,2.0347828430038413,16.0503992929185,17526.4742001718,5.30013990715806,17894.2966855025,1.7343331009030192,362.991056323618,2.86436148600433,672.67672004984,4.71137592597304,2106.86395924945,4.71342068855478,14114.3158179076,1.28181378734011,5290.20427607333,3.30021183818555,6804.764206917686,0.9251360578239525,21336.2492586566,5184.4745419988,2.5127034449915,1977.07104276071,7.67505252851426,3336.49171375802,0.803637874137436,19655.9119684222,5.89483729218043,25295.2100247742,-1.43845053330176,283.58485541074,52.2192518282772,YR1970
